Title,Genre,Ratings,Voting_counts,Duration
Balestra,Fantasy,5.1, (529),2h 25m
Schneewittchen,Fantasy,4.8, (7),1h 10m
Mononoke the Movie: The Phantom in the Rain,Fantasy,6.8, (1.2K),1h 29m
School of Magical Animals 3,Fantasy,5.8, (315),1h 45m
Warchief,Fantasy,2.5, (608),1h 34m
Big City Greens the Movie: Spacecation,Fantasy,6.2, (543),1h 23m
The Keepers of the 5 Kingdoms,Fantasy,4.0, (219),1h 49m
The Invisibles,Fantasy,5.8, (464),1h 51m
"Love, Danielle",Fantasy,8.9, (40),1h 19m
White Snake: Afloat,Fantasy,6.9, (477),2h 13m
Assassin's Guild,Fantasy,3.6, (118),1h 43m
Dalia y el Libro Rojo,Fantasy,6.4, (92),1h 47m
Nyctophobia,Fantasy,7.5, (1.8K),1h 30m
Tim Travers & the Time Travelers Paradox,Fantasy,6.9, (278),1h 35m
Barroz: Guardian of Treasures,Fantasy,3.5, (1K),2h 35m
Mayan,Fantasy,8.7, (131),1h 53m
Fureru,Fantasy,6.2, (36),1h 47m
The Witch: Revenge,Fantasy,5.3, (824),1h 40m
"Die Heinzels: Neue Mützen, Neue Mission",Fantasy,6.4, (91),1h 16m
Oshi no Ko: The Final Act,Fantasy,6.8, (128),2h 9m
Ghost Cat Anzu,Fantasy,6.5, (774),1h 37m
My Oni Girl,Fantasy,6.0, (1.7K),1h 52m
"Maya, donne-moi un titre",Fantasy,6.4, (54),1h 1m
Phallacies,Fantasy,N/A,N/A,1h 41m
Ooru Peru Bhairavakona,Fantasy,5.7, (1.7K),2h 13m
Respati,Fantasy,5.8, (293),1h 52m
SuperKlaus,Fantasy,4.3, (202),1h 28m
Loch Ness Monster Captured,Fantasy,3.3, (32),45m
Una ballena,Fantasy,6.1, (76),1h 48m
The Sleeping Woman,Fantasy,5.2, (569),1h 50m
Heartsping : Teenieping of Love,Fantasy,7.1, (24),TV-Y
Diplodocus,Fantasy,6.3, (178),1h 30m
UmroAyyar - A New Beginning,Fantasy,6.9, (675),2h 15m
The Phantom Warrior,Fantasy,2.4, (555),1h 59m
Seven Seas Seven Hills,Fantasy,8.7, (89),1h 30m
Si Juki the Movie: Harta Pulau Monyet,Fantasy,6.0, (119),1h 47m
Un cuento de pescadores,Fantasy,7.1, (40),1h 43m
King Baby,Fantasy,7.0, (26),1h 28m
Hanami,Fantasy,6.8, (102),1h 36m
The Casagrandes Movie,Fantasy,5.6, (667),1h 29m
A Trip Elsewhere,Fantasy,5.5, (102),1h 33m
Princesa Adormecida,Fantasy,3.9, (168),1h 20m
STEVE (A Minecraft Movie),Fantasy,6.9, (12),1h 1m
The Yin Yang Master Zero,Fantasy,5.7, (275),1h 52m
Taisu Xilie,Fantasy,N/A,N/A,1h 40m
The Proud Princess,Fantasy,6.7, (113),1h 24m
Malaikottai Vaaliban,Fantasy,6.0, (4.1K),2h 36m
The Traveller,Fantasy,5.2, (208),2h 14m
My Future You,Fantasy,8.3, (50),1h 49m
Shrek 5: The Contract - A Fan Made Film,Fantasy,7.0, (19),1h 24m
Once Upon a Christmas Wish,Fantasy,6.1, (321),1h 30m
The Lost Tiger,Fantasy,7.9, (45),1h 30m
The Epidemic,Fantasy,5.7, (72),1h 35m
My Redneck Neighbor: Chapter 2 - Let the Games Begin,Fantasy,N/A,N/A,55m
Perdiendo el Juicio,Fantasy,7.5, (21),1h 30m
Bremenskie muzykanty,Fantasy,4.6, (671),1h 55m
Kajolrekha,Fantasy,6.3, (177),2h 36m
Empire Queen: The Golden Age of Magic,Fantasy,3.2, (204),2h 28m
The Seductress from Hell,Fantasy,6.7, (18),1h 42m
Spirit Riser,Fantasy,6.7, (33),1h 38m
"Don't Cry, Butterfly",Fantasy,6.4, (119),1h 37m
We Work for the Dead,Fantasy,6.6, (510),1h 24m
The Time Travel Hills,Fantasy,5.4, (72),1h 22m
Vertical,Fantasy,5.2, (133),1h 51m
God with Three Eyes,Fantasy,6.1, (14),1h 52m
The Gesuidouz,Fantasy,6.8, (57),1h 33m
The Vord,Fantasy,3.4, (65),1h 41m
Enchanting Christmas,Fantasy,6.3, (354),1h 31m
Perfect Blue,Fantasy,7.5, (6),N/A
The Sisters,Fantasy,4.7, (151),2h 2m
Bodegón con fantasmas,Fantasy,6.5, (159),1h 28m
Written in Blood,Fantasy,N/A,N/A,N/A
Zak & Wowo: The Legend of Lendarys,Fantasy,5.7, (96),1h 25m
Witchy Ways,Fantasy,6.5, (38),N/A
The Fisherman,Fantasy,7.2, (44),1h 45m
Tokusou Sentai Dekaranger 20th: Fireball Booster,Fantasy,7.0, (33),50m
Dr. Sander's Sleep Cure,Fantasy,7.0, (855),1h 38m
Deadlands - A Fly Story,Fantasy,N/A,N/A,N/A
Niko: Beyond the Northern Lights,Fantasy,6.2, (333),1h 26m
Pechi,Fantasy,5.5, (1.5K),1h 50m
Hold Me Close,Fantasy,7.4, (12),1h 38m
Schirkoa: In Lies We Trust,Fantasy,5.6, (158),1h 43m
Dragon Ball Z Kai,Fantasy,8.5, (71),1h 22m
Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,Fantasy,5.9, (84),2h 18m
Bhairadevi,Fantasy,8.7, (49),2h 14m
Rita,Fantasy,5.8, (272),1h 47m
Don Dukun,Fantasy,7.0, (53),1h 38m
Dead Dead Demon's Dededede Destruction,Fantasy,7.0, (145),2h
La Piñata de Marcel,Fantasy,9.2, (9),N/A
Spirit World,Fantasy,5.8, (59),1h 34m
The Jester from Transylvania,Fantasy,4.8, (37),1h 42m
Askepote,Fantasy,3.5, (83),1h 12m
Letters at Christmas,Fantasy,3.7, (173),1h 24m
Captain Avispa,Fantasy,5.8, (177),1h 36m
The Woods Are Real,Fantasy,2.4, (459),1h 20m
Saint Young Men: Holy Men vs Demon Army,Fantasy,3.0, (14),1h 33m
The Ballad of Hortensia,Fantasy,6.7, (129),1h 34m
The Evil Fairy Queen,Fantasy,5.4, (51),1h 30m
Bloody Mary,Fantasy,N/A,N/A,N/A
Apollon by Day Athena by Night,Fantasy,6.9, (21),1h 52m
Carol,Fantasy,8.3, (47),1h 55m
PinkCity: A Psychedelic Meditation,Fantasy,N/A,N/A,1h 35m
Intercambiadas,Fantasy,6.4, (56),1h 37m
Fuuto PI: Portrait of Kamen Rider Skull,Fantasy,7.5, (42),1h 22m
Universal Groove,Fantasy,5.5, (170),1h 14m
The Slave and the Sorcerer,Fantasy,6.7, (40),1h 26m
All In,Fantasy,5.6, (86),1h 43m
The Old Man and the Demon Sword,Fantasy,7.4, (37),1h 3m
Domovyonok Kuzya,Fantasy,6.5, (821),1h 30m
River of Ghosts,Fantasy,3.0, (305),1h 42m
Witch Hunter,Fantasy,5.3, (24),1h 20m
Letuchiy korabl,Fantasy,3.8, (298),1h 40m
White Cobra Diamond Fox vs the Golden Eye,Fantasy,5.0, (25),1h 30m
The Umbrella Fairy,Fantasy,5.5, (54),1h 35m
A Song from the Dark,Fantasy,4.8, (2.2K),1h 45m
Ienai Himitsu,Fantasy,6.8, (66),1h 55m
Hiçbir Sey Normal Degil,Fantasy,5.9, (73),1h 11m
Planet 7693,Fantasy,7.6, (70),1h 50m
Inazuma Eleven Movie: The Legendary Kickoff,Fantasy,N/A,N/A,N/A
Penguin Girl,Fantasy,6.9, (14),1h 38m
Videotheque,Fantasy,6.2, (102),1h 52m
Woof Woof Daddy,Fantasy,6.4, (42),1h 45m
The Supernatural Sweet Shop: The Movie,Fantasy,7.3, (17),1h 43m
Last Song for You,Fantasy,7.3, (94),1h 46m
Turma da Mônica Jovem: Reflexos do Medo,Fantasy,2.8, (258),1h 28m
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,Fantasy,7.0, (35),1h 11m
Domovoy,Fantasy,4.3, (289),1h 42m
Ella,Fantasy,9.2, (65),1h 31m
The Beads,Fantasy,6.6, (13),1h 40m
The Formula for Water,Fantasy,4.5, (31),1h 26m
Il ladro di stelle cadenti,Fantasy,8.8, (26),N/A
Nueva Tierra,Fantasy,7.6, (30),2h 3m
Gypsy Moon,Fantasy,4.9, (20),N/A
Sun and Moon,Fantasy,5.0, (5),2h 43m
Wedding Diaries,Fantasy,8.9, (2K),2h 1m
Princess Halle and the Jester,Fantasy,4.8, (61),1h 11m
River Returns,Fantasy,6.8, (17),1h 49m
Pushpaka Vimanam,Fantasy,5.6, (16),2h 17m
The Worlds Divide,Fantasy,8.1, (39),2h
Wanderer,Fantasy,7.0, (9),46m
Vampire Genesis,Fantasy,4.4, (36),1h 45m
Noaptea lui Vlad,Fantasy,7.8, (51),N/A
Brush of the God,Fantasy,6.5, (13),1h 14m
Baba Yaga spasaet Novyy god,Fantasy,4.4, (116),1h 39m
Mephisto,Fantasy,5.4, (62),1h 48m
Bob a Bobek ve filmu: Na stope Mrkvojeda,Fantasy,7.5, (27),1h 20m
Beast of Two Worlds,Fantasy,7.0, (25),N/A
Cedric & Alysia,Fantasy,5.2, (52),1h 24m
Tri bogatyrya. Ni dnya bez podviga,Fantasy,5.7, (69),1h 1m
Double Tuckerr,Fantasy,4.9, (1.2K),2h
Fidil Ghorm,Fantasy,7.8, (7),1h 26m
Dead Dead Demon's Dededede Destruction Zenpen,Fantasy,7.1, (140),2h
Hakkenden,Fantasy,5.8, (76),2h 29m
Naag Bhoomi,Fantasy,5.7, (8),2h 10m
Horse with No Name,Fantasy,7.8, (14),1h 12m
Maya Puthagam,Fantasy,5.4, (424),2h 2m
Dank Frank,Fantasy,N/A,N/A,1h 22m
Lilla spöket Laban spökar igen,Fantasy,6.2, (27),44m
Ognivo,Fantasy,5.5, (226),1h 45m
Snake Skin Beauty,Fantasy,4.1, (19),1h 23m
Nature Cat's Nature Movie Special Extraordinaire,Fantasy,7.3, (19),53m
The Secret of Pin-Up Island,Fantasy,7.4, (92),1h 47m
