Title,Genre,Ratings,Voting_counts,Duration
Greenwood Rising: The Rise of Black Wall Street,History,7.1, (96),N/A
Komandir,History,6.4, (523),2h 11m
Aliens Return,History,3.1, (10),N/A
Quo Vadis,History,6.6, (508),1h 30m
Vremya vernutsya,History,6.9, (15),1h 40m
Drava se ne predaje,History,9.6, (7),N/A
Yakamoz,History,6.5, (16),1h 36m
Comrade Yuri,History,N/A,N/A,N/A
Magic & Monsters,History,N/A,N/A,N/A
Six Nine Five (695),History,7.1, (705),2h 17m
Obraz,History,7.6, (17),1h 35m
And the Balls Roll On...: The Real Story of the Beautiful Game of Skee-Ball,History,N/A,N/A,1h 33m
Hakkenden,History,5.8, (76),2h 29m
Chernyy zamok,History,7.9, (19),1h 55m
Bach - Ein Weihnachtswunder,History,6.2, (168),1h 29m
Solos en la noche,History,5.8, (98),1h 28m
"Arlempdes, la légende du premier château de la Loire",History,6.5, (9),N/A
Hope of Escape,History,7.7, (41),1h 31m
Burgemeestersmoord,History,6.4, (83),N/A
Aquarius,History,6.6, (21),1h 15m
"True Chronicles of the Blida Joinville Psychiatric Hospital in the Last Century, when Dr Frantz Fanon Was Head of the Fifth Ward between 1953 and 1956",History,7.2, (29),1h 30m
Village of Death: Oradour-sur-Glane 1944,History,7.8, (15),58m
"Zeme, kas dzied",History,6.4, (76),2h 30m
Who Killed Lawrence of Arabia?,History,6.5, (32),1h 40m
Zhi Ci Qing Lv,History,6.7, (49),1h 29m
Tholos vythos,History,6.8, (25),1h 30m
Cândido,History,6.3, (61),1h 39m
Powstaniec 1863,History,5.4, (139),1h 55m
Wilhelm Gustloff,History,8.7, (8),1h 50m
Cinta Dari Timor,History,5.3, (23),1h 22m
Rinnans rival,History,N/A,N/A,1h 34m
Tears of Blood,History,9.7, (7),N/A
Bloodspawn,History,5.7, (12),1h 16m
I am Al Ittihad,History,4.9, (228),1h 30m
Ray of Hope,History,7.0, (10),1h 45m
Operation Star,History,7.7, (24),1h 42m
Onihei Hankacho: Ketto,History,6.3, (16),N/A
Atomic People,History,8.3, (105),1h 30m
Sragaal,History,8.4, (19),2h 20m
You Are Always Right Here,History,N/A,N/A,N/A
Manyunya. Priklyucheniya v derevne,History,5.8, (121),1h 24m
Ett hjärta är alltid rött,History,7.1, (395),1h 43m
The Happiest Place on Earth,History,6.4, (15),N/A
Guadalupe: Mother of Humanity,History,7.1, (39),1h 42m
Meet the Roman Emperor with Mary Beard,History,7.7, (45),59m
Dogman Territory: Werewolves in the Land Between the Lakes,History,5.4, (32),N/A
Wieland,History,5.7, (17),N/A
Le choix du pianiste,History,5.8, (12),1h 46m
The Fall of 2008,History,7.7, (11),1h 1m
Manyunya. Priklyucheniya v Moskve,History,5.8, (111),1h 27m
Iyunskaya polyn,History,8.5, (6),1h 19m
Madame Durocher,History,6.5, (23),N/A
Myall Creek Day of Justice,History,6.4, (17),1h 18m
Ecce Homo Brâncoveanu,History,7.0, (165),1h 32m
Cinema Strada,History,N/A,N/A,1h 46m
Bröderna Andersson,History,7.2, (93),1h 24m
Marcho - L'ultima bandiera,History,N/A,N/A,1h 15m
Legend of the Lizard,History,N/A,N/A,N/A
Kargil 1999- The Untold Story of the Indian Air Force,History,9.2, (14),N/A
All or Nothin',History,8.0, (32),1h 35m
Jíkuri,History,N/A,N/A,N/A
The Colonizer,History,N/A,N/A,1h 17m
Ainda Somos os Mesmos,History,5.8, (45),1h 30m
Lafran,History,8.2, (15),1h 39m
Lulu in Turin,History,8.5, (6),1h 16m
Public Defender,History,8.0, (18),N/A
The Legacy of Mahaveer,History,7.1, (66),N/A
Holdin' Weight: The Darryl Reed Story,History,N/A,N/A,N/A
Tayna Chyornoy Ruki,History,5.7, (23),1h 24m
3 Frauen 1 Streik,History,6.6, (22),N/A
Colors of the Sun,History,N/A,N/A,N/A
Clergyman,History,N/A,N/A,1h 54m
Márton Áron Erdély püspöke,History,N/A,N/A,1h 30m
Aliens Uncovered: The Land of Legends,History,8.9, (9),N/A
Paul Anka: His Way,History,7.3, (11),1h 40m
America's Woman,History,N/A,N/A,1h 13m
Drama 1882,History,9.2, (19),45m
L'orizzonte chiuso,History,8.0, (5),N/A
Illuminate - Monica Vitti - La donna che visse due volte,History,N/A,N/A,45m
