Title,Genre,Ratings,Voting_counts,Duration
Kizumonogatari: Koyomi Vamp,Animation,7.0, (90),2h 24m
Si Juki the Movie: Harta Pulau Monyet,Animation,6.0, (119),1h 47m
Cille 2069,Animation,7.1, (93),N/A
Storm Crashers,Animation,6.2, (563),1h 28m
Boys Go to Jupiter,Animation,6.9, (96),1h 30m
The Casagrandes Movie,Animation,5.6, (667),1h 29m
Sabbath Queen,Animation,8.0, (65),1h 45m
STEVE (A Minecraft Movie),Animation,6.9, (12),1h 1m
Fox & Hare Save the Forest,Animation,5.9, (203),1h 11m
Taisu Xilie,Animation,N/A,N/A,1h 40m
The Proud Princess,Animation,6.7, (113),1h 24m
Abá e Sua Banda,Animation,7.0, (10),1h 24m
Angelo dans la forêt mystérieuse,Animation,6.0, (125),1h 21m
Shrek 5: The Contract - A Fan Made Film,Animation,7.0, (19),1h 24m
Jon Vardar protiv Galaksijata,Animation,8.1, (75),1h 26m
The Lost Tiger,Animation,7.9, (45),1h 30m
My Redneck Neighbor: Chapter 2 - Let the Games Begin,Animation,N/A,N/A,55m
Bocchi the Rock! Re: Re:,Animation,7.9, (104),1h 17m
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,Animation,6.9, (21),1h 30m
(S)KiDS,Animation,8.6, (102),1h 25m
TWST: Things We Said Today,Animation,7.0, (47),1h 26m
Peppa's Cinema Party,Animation,5.0, (155),1h 5m
God with Three Eyes,Animation,6.1, (14),1h 52m
Olivia & the Clouds,Animation,7.2, (52),1h 21m
I Am What I Am 2,Animation,7.5, (206),2h 14m
The Big Trip 3: Race Around the World,Animation,5.6, (59),1h 25m
Zak & Wowo: The Legend of Lendarys,Animation,5.7, (96),1h 25m
Transformers Prime: Galavatron's Revenge,Animation,3.4, (10),1h 44m
Niko: Beyond the Northern Lights,Animation,6.2, (333),1h 26m
Tobias and the Arcane Merchant,Animation,9.0, (43),2h 47m
Schirkoa: In Lies We Trust,Animation,5.6, (158),1h 43m
Luntik. Vozvrashchenie domoy,Animation,6.4, (75),TV-Y
Dragon Ball Z Kai,Animation,8.5, (71),1h 22m
Isla Monstro,Animation,8.6, (8),N/A
Trapezium,Animation,6.3, (152),1h 42m
Little Emma,Animation,5.9, (114),1h 46m
Dead Dead Demon's Dededede Destruction,Animation,7.0, (145),2h
Ivan Tsarevich i Seryy Volk 6,Animation,5.5, (87),N/A
Return,Animation,N/A,N/A,1h 30m
Uma Musume: Pretty Derby - Beginning of a New Era,Animation,7.3, (121),1h 48m
Askepote,Animation,3.5, (83),1h 12m
Captain Avispa,Animation,5.8, (177),1h 36m
Yumi's Cells: The Movie,Animation,6.2, (49),1h 33m
Monkey King: The Beginning,Animation,N/A,N/A,N/A
Mochi-chon,Animation,9.0, (9),N/A
Mariposas Negras,Animation,7.2, (54),1h 23m
Woolina and the No Birds,Animation,8.2, (48),1h 20m
The Storm,Animation,6.0, (139),1h 42m
